category,season,total_transactions,total_revenue,avg_order_value,,,,,,
Accessories,Fall,381,"61,572.82",161.61,,Category,Fall,Spring,Summer,Winter
Accessories,Spring,346,"50,905.90",147.13,,Accessories,61572.82,50905.9,48857.93,40848.68
Accessories,Summer,358,"48,857.93",136.47,,Clothing,68703.84,62982.33,57810.52,66713.14
Accessories,Winter,339,"40,848.68",120.5,,Electronics,38670.82,31275.88,29731.83,37132.28
Clothing,Fall,482,"68,703.84",142.54,,Footwear,8723,9653,9451,8745
Clothing,Winter,503,"66,713.14",132.63,,Outerwear,5334,4425,4375,4663
Clothing,Spring,509,"62,982.33",123.74,,,,,,
Clothing,Summer,454,"57,810.52",127.34,,,,,,
Electronics,Fall,53,"38,670.82",729.64,,,,,,
Electronics,Winter,48,"37,132.28",773.59,,,,,,
Electronics,Spring,45,"31,275.88",695.02,,,,,,
Electronics,Summer,41,"29,731.83",725.17,,,,,,
Footwear,Spring,165,"9,653",58.5,,,,,,
Footwear,Summer,161,"9,451",58.7,,,,,,
Footwear,Winter,144,"8,745",60.73,,,,,,
Footwear,Fall,137,"8,723",63.67,,,,,,
Outerwear,Fall,89,"5,334",59.93,,,,,,
Outerwear,Winter,82,"4,663",56.87,,,,,,
Outerwear,Spring,81,"4,425",54.63,,,,,,
Outerwear,Summer,76,"4,375",57.57,,,,,,